United States COVID-19 Cases Deaths and Testing by State
Date generated: Sat Jun 12 2021 19:00:55 GMT-0400 (Eastern Daylight Time)
State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,Total % Positive,% Positive Last 30 Days,% Positive Last 7 Days,# Tests per 100K,Total # Tests,# Tests per 100K Last 7 Days,Total # Tests Last 7 Days,# Tests per 100K Last 30 Days,Total # Tests Last 30 Days,New Cases,New Deaths
Alaska,67823,0,0,175,9271,366,N/A,N/A,4,50,23.9,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,4
Alabama,547733,421397,126336,1391,11171,11272,8952,2320,56,229,28.4,1.1,10-14.9%,5-7.9%,3-4.9%,94970.45,4656577,562.63,27587,3018.43,147999,413,8
Arkansas,343609,0,0,1467,11386,5859,N/A,N/A,14,194,48.6,0.5,8-9.9%,3-4.9%,5-7.9%,93088.88,2809240,444.83,13424,2224.03,67117,393,3
American Samoa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,885834,818923,66911,2797,12170,17740,15798,1942,69,243,38.4,1,10-14.9%,3-4.9%,3-4.9%,109095.52,7940754,1028.86,74888,4981.03,362555,422,-2
California,3694498,0,0,4557,9350,62593,N/A,N/A,103,158,11.5,0.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1136,55
Colorado,550014,512442,37572,4245,9551,6677,5893,784,66,115,73.7,1.2,5-7.9%,3-4.9%,< 3%,139817.44,8051717,1822.07,104928,9400.01,541322,930,11
Connecticut,348350,318817,29533,459,9771,8261,6790,1471,15,231,12.9,0.4,5-7.9%,< 3%,< 3%,261827.25,9334893,1905.65,67942,10778.01,384267,31,1
District of Columbia,49158,0,0,90,6965,1137,N/A,N/A,1,161,12.8,0.1,3-4.9%,< 3%,< 3%,282818.82,1995991,3609.78,25476,17232.9,121621,7,0
Delaware,109296,101752,7544,291,11224,1679,1536,143,5,172,29.9,0.5,5-7.9%,< 3%,< 3%,218456.11,2127247,1790.99,17440,9784.92,95282,38,0
Florida,2300786,0,0,11882,10712,37265,N/A,N/A,346,173,55.3,1.6,8-9.9%,3-4.9%,3-4.9%,140934.68,30269579,1605.99,344930,7861.25,1688419,0,0
Federated States of Micronesia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,1128092,898990,229102,2580,10625,21128,18282,2846,186,198,24.3,1.8,10-14.9%,3-4.9%,< 3%,80255.76,8521094,680.85,72289,3527,374476,434,34
Guam,8236,0,0,30,4968,139,N/A,N/A,0,83,18.1,0,5-7.9%,5-7.9%,5-7.9%,67798.15,112389,348.68,578,1575.07,2611,0,0
Hawaii,35595,0,0,378,2514,503,N/A,N/A,5,35,26.7,0.4,< 3%,< 3%,< 3%,115001.71,1628277,2669.52,37797,10963,155222,73,1
Iowa,372398,0,0,535,11803,6097,N/A,N/A,30,193,17,1,10-14.9%,3-4.9%,< 3%,113368.64,3576860,784.99,24767,4105.08,129518,89,2
Idaho,193515,154878,38637,720,10829,2116,1845,271,16,118,40.3,0.9,10-14.9%,5-7.9%,5-7.9%,90667.66,1620290,977.58,17470,4293.3,76724,118,0
Illinois,1387029,1387029,0,2664,10946,25452,23035,2417,170,200,21,1.3,5-7.9%,< 3%,< 3%,163945.6,20774893,1803.94,228592,9922.65,1257380,401,22
Indiana,748654,0,0,2519,11120,13714,13295,419,26,203,37.4,0.4,10-14.9%,5-7.9%,3-4.9%,129253.03,8701597,921.98,62070,4773.92,321391,395,4
Kansas,315769,254752,61017,978,10839,5106,N/A,N/A,22,175,33.6,0.8,10-14.9%,3-4.9%,3-4.9%,106033.06,3089076,619.09,18036,3254.64,94818,135,3
Kentucky,461947,347204,114743,1898,10340,7147,6407,740,61,159,42.5,1.4,10-14.9%,3-4.9%,3-4.9%,102027.07,4558236,1074.43,48002,5192.32,231976,230,9
Louisiana,475354,0,0,1909,10225,10648,9651,997,33,229,41.1,0.7,8-9.9%,3-4.9%,3-4.9%,144935.53,6737754,1123.3,52220,5089.94,236621,228,10
Massachusetts,708710,662665,46045,987,10282,17937,17574,363,34,260,14.3,0.5,3-4.9%,< 3%,< 3%,333933.83,23016399,3248.57,223908,17555.35,1210003,131,8
Maryland,461183,0,0,711,7628,9683,9464,219,44,160,11.8,0.7,8-9.9%,< 3%,< 3%,187133.03,11313464,1730.62,104628,9915.16,599439,86,6
Maine,68540,50136,18404,386,5099,845,817,28,6,62,28.7,0.5,3-4.9%,< 3%,< 3%,173841.7,2336801,1356.85,18239,9525.43,128042,53,0
Michigan,996756,891933,104823,1838,9980,20720,19487,1233,68,207,18.4,0.7,8-9.9%,3-4.9%,< 3%,142122.58,14193579,1404.58,140273,7076.47,706717,329,8
Minnesota,603466,0,0,1332,10700,7589,7079,510,51,134,23.6,0.9,5-7.9%,3-4.9%,< 3%,220322.67,12425388,1897.34,107003,12408.4,699788,161,12
Missouri,605569,0,0,3550,9867,9196,N/A,N/A,56,149,57.8,0.9,10-14.9%,3-4.9%,5-7.9%,100927.95,6194380,895.38,54953,4505.26,276507,552,1
