Data Table for Daily Case Trends - United States
Date generated: Sat Jun 12 2021 19:02:38 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Jun 11 2021,12021,13295,368
United States,Jun 10 2021,17094,14138,342
United States,Jun 9 2021,14398,14065,5214
United States,Jun 8 2021,13869,14364,0
United States,Jun 7 2021,9275,13649,137
United States,Jun 6 2021,11560,13633,13
United States,Jun 5 2021,14850,13680,362
United States,Jun 4 2021,17921,13811,833
United States,Jun 3 2021,16588,14180,1094
United States,Jun 2 2021,16487,14890,0
United States,Jun 1 2021,8862,15898,0
United States,May 31 2021,9169,18035,1
United States,May 30 2021,11887,18854,0
United States,May 29 2021,15764,19447,0
United States,May 28 2021,20505,20522,0
United States,May 27 2021,21558,21391,0
United States,May 26 2021,23541,22310,0
United States,May 25 2021,23825,22909,0
United States,May 24 2021,14900,23672,0
United States,May 23 2021,16041,24187,0
United States,May 22 2021,23285,24957,0
United States,May 21 2021,26593,25819,0
United States,May 20 2021,27987,26868,0
United States,May 19 2021,27734,28000,0
United States,May 18 2021,29165,29055,0
United States,May 17 2021,18509,29692,406
United States,May 16 2021,21431,30568,0
United States,May 15 2021,29316,31246,42
United States,May 14 2021,33938,32334,0
United States,May 13 2021,35908,33763,0
United States,May 12 2021,35124,34832,0
United States,May 11 2021,33622,36234,0
United States,May 10 2021,24639,37613,0
United States,May 9 2021,26180,38616,0
United States,May 8 2021,36930,40263,0
United States,May 7 2021,43938,41919,0
United States,May 6 2021,43395,43399,0
United States,May 5 2021,44938,45386,0
United States,May 4 2021,43272,46761,0
United States,May 3 2021,31665,48009,0
United States,May 2 2021,37708,49000,0
United States,May 1 2021,48523,49469,0
United States,Apr 30 2021,54294,50339,0
United States,Apr 29 2021,57302,51380,0
United States,Apr 28 2021,54569,52120,0
United States,Apr 27 2021,52007,53260,0
United States,Apr 26 2021,38603,54416,-9005
United States,Apr 25 2021,40988,53721,0
United States,Apr 24 2021,54611,55224,0
United States,Apr 23 2021,61584,57952,0
United States,Apr 22 2021,62480,59289,0
United States,Apr 21 2021,62547,60923,0
United States,Apr 20 2021,60105,62413,0
United States,Apr 19 2021,33735,64602,0
United States,Apr 18 2021,51506,67670,0
United States,Apr 17 2021,73707,67906,0
United States,Apr 16 2021,70947,66864,0
United States,Apr 15 2021,73918,67960,0
United States,Apr 14 2021,72975,68399,0
United States,Apr 13 2021,75429,68858,0
United States,Apr 12 2021,55213,67220,0
United States,Apr 11 2021,53159,67250,0
United States,Apr 10 2021,66407,66019,0
United States,Apr 9 2021,78625,65557,72
United States,Apr 8 2021,76989,64410,0
United States,Apr 7 2021,76189,63963,0
United States,Apr 6 2021,63959,63135,0
United States,Apr 5 2021,55427,63100,0
United States,Apr 4 2021,44541,63092,0
United States,Apr 3 2021,63169,64122,0
United States,Apr 2 2021,70600,64202,0
United States,Apr 1 2021,73857,64990,0
United States,Mar 31 2021,70392,63941,0
United States,Mar 30 2021,63715,63464,0
United States,Mar 29 2021,55370,62813,0
United States,Mar 28 2021,51756,61673,0
United States,Mar 27 2021,63725,60548,0
United States,Mar 26 2021,76119,59660,0
United States,Mar 25 2021,66514,57455,0
United States,Mar 24 2021,67053,56882,0
United States,Mar 23 2021,59155,55896,0
United States,Mar 22 2021,47391,55223,0
United States,Mar 21 2021,43883,54480,0
United States,Mar 20 2021,57505,54286,0
United States,Mar 19 2021,60687,53760,0
United States,Mar 18 2021,62504,53829,0
United States,Mar 17 2021,60149,53421,0
United States,Mar 16 2021,54443,53162,0
United States,Mar 15 2021,42190,53021,0
United States,Mar 14 2021,42529,52904,0
United States,Mar 13 2021,53818,52900,0
United States,Mar 12 2021,61176,53176,0
United States,Mar 11 2021,59643,53465,0
United States,Mar 10 2021,58335,54191,0
United States,Mar 9 2021,53459,55187,891
United States,Mar 8 2021,41371,55701,0
United States,Mar 7 2021,42500,56361,0
United States,Mar 6 2021,55753,57693,0
United States,Mar 5 2021,63194,59216,0
United States,Mar 4 2021,64728,60342,0
United States,Mar 3 2021,65310,61172,0
United States,Mar 2 2021,57056,62180,0
United States,Mar 1 2021,45990,63977,0
United States,Feb 28 2021,51821,65109,0
United States,Feb 27 2021,66413,65157,0
United States,Feb 26 2021,71076,65090,0
United States,Feb 25 2021,70538,64973,0
United States,Feb 24 2021,72369,64420,0
United States,Feb 23 2021,69638,63959,0
United States,Feb 22 2021,53913,61985,0
United States,Feb 21 2021,52155,61727,0
United States,Feb 20 2021,65943,63224,0
United States,Feb 19 2021,70256,65823,0
United States,Feb 18 2021,66666,69287,0
United States,Feb 17 2021,69143,73942,0
United States,Feb 16 2021,55823,78059,0
United States,Feb 15 2021,52106,83174,0
United States,Feb 14 2021,62632,86926,0
United States,Feb 13 2021,84141,89679,0
United States,Feb 12 2021,94499,92717,0
United States,Feb 11 2021,99251,96883,0
United States,Feb 10 2021,97967,100059,0
United States,Feb 9 2021,91627,102446,0
United States,Feb 8 2021,78365,106514,0
United States,Feb 7 2021,81904,112523,0
United States,Feb 6 2021,105410,115316,0
