Data Table for Daily Death Trends - United States
Date generated: Sat Jun 12 2021 19:04:58 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Jun 11 2021,359,348,0
United States,Jun 10 2021,447,358,32
United States,Jun 9 2021,355,357,18
United States,Jun 8 2021,390,371,37
United States,Jun 7 2021,445,366,8
United States,Jun 6 2021,179,326,4
United States,Jun 5 2021,266,326,0
United States,Jun 4 2021,428,324,0
United States,Jun 3 2021,440,331,1
United States,Jun 2 2021,449,340,1
United States,Jun 1 2021,361,346,260
United States,May 31 2021,165,366,2
United States,May 30 2021,176,388,3
United States,May 29 2021,250,396,18
United States,May 28 2021,476,408,4
United States,May 27 2021,506,425,6
United States,May 26 2021,488,428,3
United States,May 25 2021,507,435,1
United States,May 24 2021,313,456,124
United States,May 23 2021,232,470,2
United States,May 22 2021,339,491,2
United States,May 21 2021,596,499,0
United States,May 20 2021,527,506,2
United States,May 19 2021,533,513,0
United States,May 18 2021,654,536,0
United States,May 17 2021,409,529,5
United States,May 16 2021,383,529,3
United States,May 15 2021,392,525,0
United States,May 14 2021,647,542,0
United States,May 13 2021,574,556,6
United States,May 12 2021,696,564,1
United States,May 11 2021,603,558,0
United States,May 10 2021,411,579,2
United States,May 9 2021,352,587,0
United States,May 8 2021,517,589,1
United States,May 7 2021,745,590,1
United States,May 6 2021,624,586,1
United States,May 5 2021,656,594,0
United States,May 4 2021,748,613,0
United States,May 3 2021,469,584,3
United States,May 2 2021,369,590,1
United States,May 1 2021,525,595,3
United States,Apr 30 2021,717,611,0
United States,Apr 29 2021,675,620,2
United States,Apr 28 2021,790,622,0
United States,Apr 27 2021,543,614,7
United States,Apr 26 2021,515,641,7
United States,Apr 25 2021,400,634,9
United States,Apr 24 2021,638,640,11
United States,Apr 23 2021,784,635,17
United States,Apr 22 2021,688,637,3
United States,Apr 21 2021,733,637,6
United States,Apr 20 2021,730,636,6
United States,Apr 19 2021,469,644,5
United States,Apr 18 2021,438,651,4
United States,Apr 17 2021,609,640,10
United States,Apr 16 2021,796,640,5
United States,Apr 15 2021,684,631,0
United States,Apr 14 2021,729,644,10
United States,Apr 13 2021,783,641,1
United States,Apr 12 2021,523,637,0
United States,Apr 11 2021,357,619,1
United States,Apr 10 2021,613,632,8
United States,Apr 9 2021,733,640,31
United States,Apr 8 2021,773,637,0
United States,Apr 7 2021,705,625,4
United States,Apr 6 2021,757,650,6
United States,Apr 5 2021,396,653,4
United States,Apr 4 2021,447,682,0
United States,Apr 3 2021,669,684,12
United States,Apr 2 2021,715,681,18
United States,Apr 1 2021,688,718,5
United States,Mar 31 2021,882,739,3
United States,Mar 30 2021,775,736,10
United States,Mar 29 2021,598,727,0
United States,Mar 28 2021,461,731,0
United States,Mar 27 2021,653,737,0
United States,Mar 26 2021,974,753,11
United States,Mar 25 2021,835,761,88
United States,Mar 24 2021,860,750,25
United States,Mar 23 2021,713,752,0
United States,Mar 22 2021,621,787,0
United States,Mar 21 2021,506,801,0
United States,Mar 20 2021,764,816,0
United States,Mar 19 2021,1034,824,166
United States,Mar 18 2021,757,837,417
United States,Mar 17 2021,874,891,0
United States,Mar 16 2021,953,944,0
United States,Mar 15 2021,720,971,0
United States,Mar 14 2021,610,994,0
United States,Mar 13 2021,823,1017,0
United States,Mar 12 2021,1125,1061,165
United States,Mar 11 2021,1137,1141,0
United States,Mar 10 2021,1246,1169,0
United States,Mar 9 2021,1142,1200,138
United States,Mar 8 2021,881,1247,0
United States,Mar 7 2021,765,1297,0
United States,Mar 6 2021,1131,1323,0
United States,Mar 5 2021,1689,1360,0
United States,Mar 4 2021,1331,1346,0
United States,Mar 3 2021,1464,1430,0
United States,Mar 2 2021,1471,1492,0
United States,Mar 1 2021,1231,1542,0
United States,Feb 28 2021,949,1582,0
United States,Feb 27 2021,1387,1636,0
United States,Feb 26 2021,1591,1675,0
United States,Feb 25 2021,1918,1771,0
United States,Feb 24 2021,1900,1793,0
United States,Feb 23 2021,1819,1832,0
United States,Feb 22 2021,1510,1816,0
United States,Feb 21 2021,1332,1801,0
United States,Feb 20 2021,1661,1798,0
United States,Feb 19 2021,2258,1826,0
United States,Feb 18 2021,2072,1823,0
United States,Feb 17 2021,2178,1943,0
United States,Feb 16 2021,1703,2008,0
United States,Feb 15 2021,1409,2133,0
United States,Feb 14 2021,1307,2175,0
United States,Feb 13 2021,1860,2233,1204
United States,Feb 12 2021,2236,2300,2559
United States,Feb 11 2021,2913,2403,0
United States,Feb 10 2021,2629,2396,0
United States,Feb 9 2021,2578,2471,0
United States,Feb 8 2021,1705,2492,0
United States,Feb 7 2021,1711,2570,0
United States,Feb 6 2021,2330,2627,0
United States,Feb 5 2021,2958,2655,0
United States,Feb 4 2021,2866,2687,0
United States,Feb 3 2021,3155,2742,0
United States,Feb 2 2021,2722,2779,0
United States,Feb 1 2021,2252,2881,0
United States,Jan 31 2021,2107,2915,0
United States,Jan 30 2021,2527,2959,0
United States,Jan 29 2021,3181,3027,0
United States,Jan 28 2021,3250,3097,0
United States,Jan 27 2021,3420,3177,0
United States,Jan 26 2021,3430,3259,0
United States,Jan 25 2021,2495,3412,0
United States,Jan 24 2021,2411,3220,0
United States,Jan 23 2021,3008,3260,0
United States,Jan 22 2021,3666,3345,0
United States,Jan 21 2021,3811,3335,0
United States,Jan 20 2021,3996,3351,0
United States,Jan 19 2021,4503,3361,0
United States,Jan 18 2021,1147,3292,0
United States,Jan 17 2021,2695,3549,0
United States,Jan 16 2021,3602,3554,0
United States,Jan 15 2021,3593,3509,0
United States,Jan 14 2021,3927,3554,0
United States,Jan 13 2021,4061,3579,0
United States,Jan 12 2021,4024,3578,0
United States,Jan 11 2021,2947,3534,0
United States,Jan 10 2021,2730,3507,0
United States,Jan 9 2021,3287,3473,0
United States,Jan 8 2021,3908,3394,0
United States,Jan 7 2021,4098,3255,0
United States,Jan 6 2021,4053,3187,0
United States,Jan 5 2021,3720,3166,0
United States,Jan 4 2021,2757,3169,0
United States,Jan 3 2021,2491,3170,0
United States,Jan 2 2021,2731,3147,0
United States,Jan 1 2021,2941,3192,0
United States,Dec 31 2020,3622,3091,0
United States,Dec 30 2020,3903,2923,0
United States,Dec 29 2020,3741,2842,0
United States,Dec 28 2020,2764,2766,0
United States,Dec 27 2020,2329,2736,0
United States,Dec 26 2020,3050,2734,0
United States,Dec 25 2020,2230,2698,0
United States,Dec 24 2020,2445,2805,0
United States,Dec 23 2020,3337,2932,0
United States,Dec 22 2020,3209,2953,0
United States,Dec 21 2020,2557,2912,0
United States,Dec 20 2020,2312,2874,0
United States,Dec 19 2020,2798,2852,0
United States,Dec 18 2020,2981,2813,0
United States,Dec 17 2020,3332,2861,0
United States,Dec 16 2020,3482,2781,0
United States,Dec 15 2020,2925,2772,0
United States,Dec 14 2020,2294,2731,0
United States,Dec 13 2020,2157,2718,0
United States,Dec 12 2020,2524,2661,0
United States,Dec 11 2020,3315,2640,0
United States,Dec 10 2020,2772,2537,0
United States,Dec 9 2020,3417,2545,0
United States,Dec 8 2020,2638,2458,0
United States,Dec 7 2020,2207,2429,0
United States,Dec 6 2020,1758,2375,0
United States,Dec 5 2020,2377,2326,0
United States,Dec 4 2020,2596,2214,0
United States,Dec 3 2020,2823,2087,0
United States,Dec 2 2020,2811,1921,0
United States,Dec 1 2020,2436,1847,0
United States,Nov 30 2020,1826,1781,0
United States,Nov 29 2020,1414,1746,0
United States,Nov 28 2020,1598,1732,0
United States,Nov 27 2020,1706,1747,0
United States,Nov 26 2020,1658,1784,0
United States,Nov 25 2020,2296,1821,0
United States,Nov 24 2020,1970,1762,0
United States,Nov 23 2020,1580,1722,0
United States,Nov 22 2020,1320,1659,0
United States,Nov 21 2020,1705,1621,0
United States,Nov 20 2020,1960,1584,0
United States,Nov 19 2020,1916,1491,0
United States,Nov 18 2020,1889,1478,0
United States,Nov 17 2020,1684,1354,0
United States,Nov 16 2020,1143,1363,0
United States,Nov 15 2020,1053,1351,0
United States,Nov 14 2020,1446,1318,0
United States,Nov 13 2020,1306,1269,0
United States,Nov 12 2020,1831,1265,0
United States,Nov 11 2020,1016,1174,0
United States,Nov 10 2020,1750,1205,0
United States,Nov 9 2020,1055,1116,0
United States,Nov 8 2020,823,1083,0
United States,Nov 7 2020,1108,1060,0
United States,Nov 6 2020,1275,1026,0
United States,Nov 5 2020,1191,983,0
United States,Nov 4 2020,1233,971,0
United States,Nov 3 2020,1129,941,0
United States,Nov 2 2020,823,915,0
United States,Nov 1 2020,662,900,0
United States,Oct 31 2020,874,888,0
United States,Oct 30 2020,973,877,0
United States,Oct 29 2020,1106,868,0
