State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,819965,112087,148662,629530,86055,601422,109040,345283,47.2,327676,59.4,298544,40.8,287880,52.2,409305,351960,58700,0,22631,272091,334709,99,125978,151505,21029,32,125651,141266,20933,30,277515,47.2,327676,59.4,37.9,266947,48.4,345283,73707,80.5,69146,75.5,39305,27615,2210,16,138848,151601,895276,344445,56.6,298248,49,125976,151213,21027,32,628402,103207,134668
Alabama,4678220,95412,122631,3105159,63329,3066101,80372,1805486,36.8,1778623,46.6,1485108,30.3,1471991,38.6,2279160,2117960,281100,0,104087,1496092,1504980,0,677862,700782,106367,97,677651,687924,106319,97,1378741,36.8,1778623,46.6,28.1,1365672,35.8,1805486,650709,76.6,563202,66.3,299896,233836,29410,60,1162325,136770,550484,1805180,43.1,1485082,35.5,677854,700768,106363,97,3104855,74157,111735
Arkansas,2803530,92900,120964,2137109,70817,2079916,89742,1221583,40.5,1183002,51,973662,32.3,954683,41.2,1370070,1254660,178800,0,71790,1003328,1061412,579,448858,454639,70021,144,448087,436804,69656,136,903641,40.5,1183002,51,29.9,885027,38.2,1221583,400872,76.5,336796,64.3,195151,130422,11135,88,729456,139241,535145,1218863,47.7,973117,38.1,448854,454209,69910,144,2133921,83446,109631
American Samoa,54030,97021,124387,43712,78493,41946,96567,24160,43.4,23080,53.1,19758,35.5,19075,43.9,37830,15600,600,0,72,10691,32949,0,4647,15031,80,0,4634,14361,80,0,19678,43.4,23080,53.1,35.3,18995,43.7,24160,2586,27.3,2316,24.5,928,1380,8,0,4812,50829,570719,24158,50.8,19757,41.5,4646,15031,80,0,43709,91909,113611
Arizona,7938645,109067,140794,6183095,84948,5964514,105782,3472644,47.7,3331873,59.1,2742773,37.7,2670645,47.4,4213365,3294380,430900,0,200952,2680171,3296927,5045,1142234,1405335,193546,1658,1141934,1333632,193432,1647,2549227,47.7,3331873,59.1,35,2477213,43.9,3472644,1085865,83,914881,69.9,452151,425804,35937,989,2047804,156484,606636,3472248,55.9,2742683,44.2,1142221,1405294,193510,1658,6182624,99622,127918
Bureau of Prisons,196310,N/A,N/A,187920,N/A,187919,N/A,102708,N/A,102707,N/A,91441,N/A,91441,N/A,104130,81580,10600,0,7215,76829,103876,0,35491,48772,7178,0,35491,48772,7178,0,84263,N/A,102707,N/A,0,84263,0,102708,3276,0,3011,0,1463,1456,92,0,6233,0,0,102707,0,91441,0,35491,48772,7178,0,187919,0,0
California,48230540,122065,157526,40236460,101833,38348494,125250,23211912,58.7,21997519,71.8,18215706,46.1,17537382,57.3,25956060,19659480,2615000,0,1431639,16714360,22084839,5622,7299433,9495133,1419517,1623,7278681,8843616,1413505,1580,16796189,58.7,21997519,71.8,42.5,16123877,52.7,23211912,5354157,91.7,4290879,73.5,2206590,1936828,146817,644,9584185,164166,826132,23156507,68.8,18197246,54.1,7299044,9477334,1419246,1622,40162625,119367,143346
Colorado,6901730,119848,153398,5858056,101725,5584750,124127,3220595,55.9,3046446,67.7,2763327,48,2663997,59.2,3727230,2834200,340300,0,205974,2495482,3153764,2836,1146516,1412850,203068,893,1143513,1317458,202141,885,2560259,55.9,3046446,67.7,44.5,2461856,54.7,3220595,729073,86.5,658216,78.1,327235,312096,18604,281,1394900,165584,819282,3212062,65.1,2760495,55.9,1146504,1410049,203049,893,5846650,118448,139823
Connecticut,4640115,130147,163508,4195004,117662,3985920,140456,2314257,64.9,2185589,77,2016147,56.5,1939821,68.4,2507115,1883100,249900,0,163434,1643598,2387554,418,766370,1086405,163255,117,766027,1010573,163119,102,1852892,64.9,2185589,77,52,1776702,62.6,2314257,593206,94.1,551182,87.5,217625,316744,16785,28,1141204,181073,736241,2313071,74.5,2015739,64.9,766170,1086267,163185,117,4193451,135014,149395
District of Columbia,1050145,148799,181818,812053,115063,798335,138220,412337,58.4,401797,69.6,340402,48.2,335542,58.1,578565,417180,54400,0,25638,321248,464925,242,130650,180407,29174,171,130614,175603,29156,169,311228,58.4,401797,69.6,44.1,306386,53,412337,72797,83.3,64027,73.3,36316,25677,2012,22,164752,188626,1202320,412261,67.6,340378,55.8,130646,180389,29172,171,811982,133166,172224
