Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sat Jun 12 2021 19:11:04 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2020-12-13,US,13269,11743,1355,13269,11743,1355,11743,13269,1355,null,null,1515,11743,1515,1515
Report,2020-12-13,US,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null
Admin,2020-12-13,LTC,229,229,0,229,229,0,229,229,0,null,null,0,229,0,0
Admin,2020-12-14,US,3925,3794,5,17194,15537,1360,7769,8597,680,null,null,35,15537,1550,775
Report,2020-12-14,US,null,null,null,null,null,null,null,null,null,509,255,null,null,null,null
Admin,2020-12-14,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,2020-12-15,US,49805,46332,27,66999,61869,1387,20623,22333,462,null,null,72,61869,1622,540
Report,2020-12-15,US,null,null,null,null,null,null,null,null,null,12129,4213,null,null,null,null
Admin,2020-12-15,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,2020-12-16,US,159664,152659,211,226663,214528,1598,53632,56665,400,null,null,256,214528,1878,469
Report,2020-12-16,US,null,null,null,null,null,null,null,null,null,38996,12909,null,null,null,null
Admin,2020-12-16,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,2020-12-17,US,274525,263087,552,501188,477615,2150,95523,100237,430,null,null,589,477615,2467,493
Report,2020-12-17,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,2020-12-17,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,2020-12-18,US,418365,405626,696,919553,883241,2846,147207,153258,474,null,null,706,883241,3173,528
Report,2020-12-18,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,2020-12-18,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
Admin,2020-12-19,US,182167,176681,795,1101720,1059922,3641,151417,157388,520,null,null,797,1059922,3970,567
Report,2020-12-19,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,2020-12-19,LTC,323,323,0,2075,1876,0,268,296,0,null,null,0,1876,0,0
Admin,2020-12-20,US,104577,101854,534,1206297,1161776,4175,164290,170432,403,null,null,573,1161776,4543,432
Report,2020-12-20,US,null,null,null,null,null,null,null,null,null,209853,93072,null,null,null,null
Admin,2020-12-20,LTC,211,211,0,2286,2087,0,265,293,0,null,null,0,2087,0,0
Admin,2020-12-21,US,381433,371857,916,1587730,1533633,5091,216871,224362,533,null,null,931,1533633,5474,560
Report,2020-12-21,US,null,null,null,null,null,null,null,null,null,149957,114422,null,null,null,null
Admin,2020-12-21,LTC,14167,14003,0,16453,16090,0,2266,2317,0,null,null,0,16090,0,0
Admin,2020-12-22,US,447084,437293,2186,2034814,1970926,7277,272722,281116,841,null,null,2198,1970926,7672,864
Report,2020-12-22,US,null,null,null,null,null,null,null,null,null,189722,139792,null,null,null,null
Admin,2020-12-22,LTC,16784,16562,9,33237,32652,9,4632,4715,1,null,null,9,32652,9,1
Admin,2020-12-23,US,568250,555531,1811,2603064,2526457,9088,330276,339485,1070,null,null,1817,2526457,9489,1087
Report,2020-12-23,US,null,null,null,null,null,null,null,null,null,368173,186817,null,null,null,null
Admin,2020-12-23,LTC,22752,20181,13,55989,52833,22,7515,7965,3,null,null,13,52833,22,3
Admin,2020-12-24,US,194390,188637,916,2797454,2715094,10004,319640,328038,1122,null,null,922,2715094,10411,1134
Report,2020-12-24,US,null,null,null,null,null,null,null,null,null,338436,224350,null,null,null,null
Admin,2020-12-24,LTC,2049,2033,16,58038,54866,38,7805,8257,5,null,null,16,54866,38,5
Admin,2020-12-25,US,12254,12132,58,2809708,2727226,10062,263426,270022,1031,null,null,58,2727226,10469,1042
Report,2020-12-25,US,null,null,null,null,null,null,null,null,null,336145,254256,null,null,null,null
Admin,2020-12-25,LTC,115,115,0,58153,54981,38,7633,8057,5,null,null,0,54981,38,5
Admin,2020-12-26,US,138390,135733,419,2948098,2862959,10481,257577,263768,977,null,null,423,2862959,10892,988
Report,2020-12-26,US,null,null,null,null,null,null,null,null,null,156478,249823,null,null,null,null
Admin,2020-12-26,LTC,9368,9241,13,67521,64222,51,8907,9349,7,null,null,13,64222,51,7
Admin,2020-12-27,US,93250,91185,381,3041348,2954144,10862,256053,262150,955,null,null,428,2954144,11320,968
Report,2020-12-27,US,null,null,null,null,null,null,null,null,null,61992,228700,null,null,null,null
Admin,2020-12-27,LTC,8951,8825,8,76472,73047,59,10137,10598,8,null,null,8,73047,59,8
Admin,2020-12-28,US,578887,564073,2583,3620235,3518217,13445,283512,290357,1193,null,null,2591,3518217,13911,1205
Report,2020-12-28,US,null,null,null,null,null,null,null,null,null,156220,229595,null,null,null,null
Admin,2020-12-28,LTC,59908,59296,22,136380,132343,81,16608,17132,12,null,null,22,132343,81,11
Admin,2020-12-29,US,708647,685998,3908,4328882,4204215,17353,319041,327724,1439,null,null,3917,4204215,17828,1450
Report,2020-12-29,US,null,null,null,null,null,null,null,null,null,314677,247446,null,null,null,null
Admin,2020-12-29,LTC,79617,78493,75,215997,210836,156,25455,26108,21,null,null,75,210836,156,21
Admin,2020-12-30,US,828372,803882,6116,5157254,5008097,23469,354520,364884,2054,null,null,6123,5008097,23951,2066
Report,2020-12-30,US,null,null,null,null,null,null,null,null,null,441549,257928,null,null,null,null
Admin,2020-12-30,LTC,77627,76531,247,293624,287367,403,33505,33947,54,null,null,247,287367,403,54
Admin,2020-12-31,US,415891,403664,2417,5573145,5411761,25886,385238,396527,2269,null,null,2422,5411761,26373,2280
Report,2020-12-31,US,null,null,null,null,null,null,null,null,null,573278,291477,null,null,null,null
Admin,2020-12-31,LTC,16171,16094,70,309795,303461,473,35514,35965,62,null,null,70,303461,473,62
Admin,2021-01-01,US,53682,50481,2324,5626827,5462242,28210,390717,402445,2593,null,null,2516,5462242,28889,2631
Report,2021-01-01,US,null,null,null,null,null,null,null,null,null,434528,305532,null,null,null,null
Admin,2021-01-01,LTC,1609,1605,4,311404,305066,477,35726,36178,63,null,null,4,305066,477,62
Admin,2021-01-02,US,252345,244664,2460,5879172,5706906,30670,406278,418724,2884,null,null,2471,5706906,31360,2924
Report,2021-01-02,US,null,null,null,null,null,null,null,null,null,290402,324664,null,null,null,null
Admin,2021-01-02,LTC,46500,45835,38,357904,350901,515,40954,41483,66,null,null,38,350901,515,66
Admin,2021-01-03,US,131049,124250,2233,6010221,5831156,32903,411002,424124,3149,null,null,2236,5831156,33596,3182
Report,2021-01-03,US,null,null,null,null,null,null,null,null,null,185279,342276,null,null,null,null
Admin,2021-01-03,LTC,32561,31876,57,390465,382777,572,44247,44856,73,null,null,57,382777,572,73
Admin,2021-01-04,US,634807,578316,43095,6645028,6409472,75998,413036,432113,8936,null,null,43123,6409472,76719,8972
Report,2021-01-04,US,null,null,null,null,null,null,null,null,null,239472,354169,null,null,null,null
Admin,2021-01-04,LTC,85886,84993,58,476351,467770,630,47918,48567,78,null,null,58,467770,630,78
Admin,2021-01-05,US,801453,703642,83512,7446481,7113114,159510,415557,445371,20308,null,null,83540,7113114,160259,20347
Report,2021-01-05,US,null,null,null,null,null,null,null,null,null,337114,357375,null,null,null,null
Admin,2021-01-05,LTC,96865,96270,103,573216,564040,733,50458,51031,82,null,null,103,564040,733,82
Admin,2021-01-06,US,996568,810465,167925,8443049,7923579,327435,416497,469399,43424,null,null,167975,7923579,328234,43469
Report,2021-01-06,US,null,null,null,null,null,null,null,null,null,600055,380018,null,null,null,null
Admin,2021-01-06,LTC,94899,94010,176,668115,658050,909,52955,53498,72,null,null,176,658050,909,72
Admin,2021-01-07,US,1133412,839147,271918,9576461,8762726,599353,478709,571902,81924,null,null,271936,8762726,600170,81971
Report,2021-01-07,US,null,null,null,null,null,null,null,null,null,730700,402507,null,null,null,null
Admin,2021-01-07,LTC,123195,122016,341,791310,780066,1250,68086,68787,111,null,null,341,780066,1250,111
Admin,2021-01-08,US,1198432,820709,354088,10774893,9583435,953441,588742,735438,132176,null,null,354118,9583435,954288,132199
Report,2021-01-08,US,null,null,null,null,null,null,null,null,null,870465,464784,null,null,null,null
Admin,2021-01-08,LTC,113948,111863,1249,905258,891929,2499,83838,84836,289,null,null,1249,891929,2499,288
Admin,2021-01-09,US,493750,360401,125417,11268643,9943836,1078858,605276,769924,149741,null,null,125423,9943836,1079711,149764
Report,2021-01-09,US,null,null,null,null,null,null,null,null,null,790484,536224,null,null,null,null
Admin,2021-01-09,LTC,50579,49665,337,955837,941594,2836,84385,85419,332,null,null,337,941594,2836,331
